FileSize,FileCount,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,Duration,Date,Time,Source,Destination
3136594,3424,10000000000,0.044,33554432,2,1,16,0,458.931110323,178.539705992,2015-04-10,12:20:13.632015,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,1,32,0,317.783109144,257.840705872,2015-04-10,12:23:12.171774,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,2,1,0,522.787224901,156.731898069,2015-04-10,12:27:30.012547,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,2,2,0,528.395592428,155.068385124,2015-04-10,12:30:06.744518,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,2,4,0,438.323651186,186.93361783,2015-04-10,12:32:41.813006,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,2,8,0,574.470550708,142.631229162,2015-04-10,12:35:48.746677,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,2,16,0,555.174440788,147.58862114,2015-04-10,12:38:11.378000,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,2,32,0,784.622473572,104.429126978,2015-04-10,12:40:38.966677,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,4,1,0,852.634482082,96.0991389751,2015-04-10,12:42:23.395873,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,4,2,0,769.700762879,106.453632832,2015-04-10,12:43:59.495063,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,4,4,0,825.000009204,99.3181350231,2015-04-10,12:45:45.948766,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,4,8,0,889.461019519,92.1203560829,2015-04-10,12:47:25.266993,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,4,16,0,819.454425342,99.9902510643,2015-04-10,12:48:57.387442,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,4,32,0,1049.81272084,78.049585104,2015-04-10,12:50:37.377773,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,8,1,0,1208.80172102,67.7840590477,2015-04-10,12:51:55.427418,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,8,2,0,1259.38642825,65.0614109039,2015-04-10,12:53:03.211573,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,8,4,0,1198.29137583,68.3785738945,2015-04-10,12:54:08.273036,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,8,8,0,1122.31215015,73.0077180862,2015-04-10,12:55:16.651671,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,8,16,0,1350.48715362,60.6725208759,2015-04-10,12:56:29.659440,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,8,32,0,1266.66392421,64.6876039505,2015-04-10,12:57:30.332015,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,16,1,0,1698.5451006,48.2397999763,2015-04-10,12:58:35.019683,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,16,2,0,1748.84659194,46.8522999287,2015-04-10,12:59:23.259546,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,16,4,0,1845.65028371,44.3949160576,2015-04-10,13:00:10.111913,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,16,8,0,1740.94065015,47.0651059151,2015-04-10,13:00:54.506895,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,16,16,0,1732.26303077,47.3008270264,2015-04-10,13:01:41.572107,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,16,32,0,1670.05292932,49.0628340244,2015-04-10,13:02:28.872983,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,32,1,0,2286.85123311,35.8298699856,2015-04-10,13:03:17.935953,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,32,2,0,2481.92608037,33.013712883,2015-04-10,13:03:53.765925,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,32,4,0,2271.39777957,36.0736031532,2015-04-10,13:04:26.779748,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,32,8,0,2237.64584991,36.6177248955,2015-04-10,13:05:02.853405,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,32,16,0,2288.78421278,35.7995741367,2015-04-10,13:05:39.471185,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,2,32,32,0,2328.20786828,35.193379879,2015-04-10,13:06:15.270817,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,1,1,0,612.393128186,133.798744917,2015-04-10,13:06:50.464271,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,1,2,0,887.582784386,92.315267086,2015-04-10,13:09:04.263072,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,1,4,0,645.462198807,126.943809032,2015-04-10,13:10:36.578391,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,1,8,0,779.350435755,105.135552883,2015-04-10,13:12:43.522247,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,1,16,0,354.984686348,230.819593906,2015-04-10,13:14:28.657853,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,1,32,0,710.455796234,115.330800056,2015-04-10,13:18:19.477499,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,2,1,0,362.383477858,226.106940985,2015-04-10,13:20:14.808363,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,2,2,0,520.738142688,157.348616838,2015-04-10,13:24:00.915357,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,2,4,0,45.7388419193,1791.41850591,2015-04-10,13:26:38.264032,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,2,8,0,473.207634744,173.153218031,2015-04-10,13:56:29.682588,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,2,16,0,667.444210906,122.762968063,2015-04-10,13:59:22.835865,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,2,32,0,588.408806867,139.252591133,2015-04-10,14:01:25.598899,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,4,1,0,650.035942943,126.05061388,2015-04-10,14:03:44.851623,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,4,2,0,793.508211083,103.259747028,2015-04-10,14:05:50.902281,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,4,4,0,959.602355398,85.3868741989,2015-04-10,14:07:34.162122,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,4,8,0,791.713240634,103.493828058,2015-04-10,14:08:59.549050,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,4,16,0,749.682882198,109.296127796,2015-04-10,14:10:43.042924,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,4,32,0,1219.06119456,67.2135710716,2015-04-10,14:12:32.339104,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,8,1,0,1161.39171852,70.5510869026,2015-04-10,14:13:39.552742,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,8,2,0,1245.04736136,65.8107140064,2015-04-10,14:14:50.103884,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,8,4,0,1158.34109695,70.7369279861,2015-04-10,14:15:55.914651,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,8,8,0,1132.98370028,72.3200621605,2015-04-10,14:17:06.651691,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,8,16,0,1143.44328015,71.6585180759,2015-04-10,14:18:18.971816,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,8,32,0,1283.59534256,63.8343319893,2015-04-10,14:19:30.630377,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,16,1,0,1631.5341703,50.2211179733,2015-04-10,14:20:34.464769,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,16,2,0,1510.36952422,54.2499449253,2015-04-10,14:21:24.685935,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,16,4,0,236.302390212,346.748146057,2015-04-10,14:22:18.935938,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,16,8,0,1741.06490294,47.0617051125,2015-04-10,14:28:05.684134,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,16,16,0,1803.6178053,45.4295229912,2015-04-10,14:28:52.745898,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,16,32,0,1657.84232544,49.4241709709,2015-04-10,14:29:38.175489,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,32,1,0,2405.50269356,34.0625288486,2015-04-10,14:30:27.599733,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,32,2,0,2466.85904071,33.2153110504,2015-04-10,14:31:01.662313,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,32,4,0,2448.94996399,33.4582211971,2015-04-10,14:31:34.877667,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,32,8,0,2333.7501066,35.1097970009,2015-04-10,14:32:08.335948,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,32,16,0,2467.4671449,33.2071321011,2015-04-10,14:32:43.445796,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,4,32,32,0,2299.35678288,35.6349639893,2015-04-10,14:33:16.652987,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,1,1,0,634.450154084,129.147150993,2015-04-10,14:33:52.288021,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,1,2,0,595.803919678,137.524194002,2015-04-10,14:36:01.435223,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,1,4,0,483.872768986,169.33673501,2015-04-10,14:38:18.959520,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,1,8,0,759.423415921,107.894309044,2015-04-10,14:41:08.296332,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,1,16,0,659.966160049,124.153995991,2015-04-10,14:42:56.190746,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,1,32,0,591.570932622,138.508209229,2015-04-10,14:45:00.344793,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,2,1,0,657.809583332,124.561036825,2015-04-10,14:47:18.853063,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,2,2,0,503.378160275,162.775091171,2015-04-10,14:49:23.414173,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,2,4,0,433.073777663,189.199687004,2015-04-10,14:52:06.189316,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,2,8,0,607.145957551,134.95507884,2015-04-10,14:55:15.389053,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,2,16,0,747.408129856,109.628813028,2015-04-10,14:57:30.344187,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,2,32,0,476.701222392,171.884264946,2015-04-10,14:59:19.973117,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,4,1,0,822.876793547,99.5743739605,2015-04-10,15:02:11.857499,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,4,2,0,915.344716449,89.5153949261,2015-04-10,15:03:51.431922,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,4,4,0,823.735064133,99.4706230164,2015-04-10,15:05:20.947376,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,4,8,0,1025.24228167,79.9200820923,2015-04-10,15:07:00.418053,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,8,4,16,0,842.78078091,97.2227230072,2015-04-10,15:08:20.338186,Stampede,Blacklight
