file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
stampede2-comet-745-1537121647677.log,0.017566914198579347,1912.602624,8.0,0.09066114575455911,1709.17888,7.0,0.09066114575455911,1709.17888,7.0,0.20781523127084287,1488.97792,6.0,0.33222171255718225,1255.1454720000002,5.0
comet-stampede2-745-1537080632220.log,0.01411584146923392,1773.142016,10.0,0.06509150470098134,1862.270976,5.0,0.06509150470098134,1862.270976,5.0,0.2775449140410386,1263.1845546666666,4.0,0.2775449140410386,1263.1845546666666,4.0
stampede2-comet-745-1537130580947.log,0.03142176731655113,1521.483776,9.0,0.03142176731655113,1521.483776,9.0,0.18895757911068897,1274.01984,7.0,0.18895757911068897,1274.01984,7.0,0.41791852591318585,914.3582719999999,6.0
comet-stampede2-745-1537081330656.log,0.04205402385987307,1335.885824,7.0,0.07804333080636806,1382.0231680000002,5.0,0.1763356342018114,1055.916032,4.0,0.1763356342018114,1055.916032,4.0,0.1763356342018114,1055.916032,4.0
stampede2-comet-745-1537120703944.log,0.02794063759618934,2060.4518399999997,5.0,0.02794063759618934,2060.4518399999997,5.0,0.02794063759618934,2060.4518399999997,5.0,0.02794063759618934,2060.4518399999997,5.0,0.37916819347746433,1315.96288,4.0
stampede2-comet-745-1537058667968.log,0.02916488114743784,1923.0883840000001,5.0,0.02916488114743784,1923.0883840000001,5.0,0.02916488114743784,1923.0883840000001,5.0,0.02916488114743784,1923.0883840000001,5.0,0.4080058481006278,1172.6574933333334,4.0
stampede2-comet-745-1537093052766.log,0.046194127548157764,1572.864,13.0,0.09751262390125318,1809.842176,7.0,0.16001496166074422,1385.1688960000001,6.0,0.16001496166074422,1385.1688960000001,6.0,0.3132597718346736,1132.46208,5.0
comet-stampede2-745-1537094325866.log,0.035267598377020516,769.6547840000001,12.0,0.09308301668062104,674.234368,7.0,0.09308301668062104,674.234368,7.0,0.26233657499839,548.405248,6.0,0.4231274554002707,428.86758399999997,5.0
stampede2-comet-745-1537118123417.log,0.01853473438412148,2090.860544,7.0,0.01853473438412148,2090.860544,7.0,0.10588149445417387,2270.16704,5.0,0.24350554582603615,1552.9410560000001,4.0,0.4810274372446001,1065.353216,3.0
comet-stampede2-745-1537147793468.log,0.027420648797646465,1652.5557760000002,4.0,0.027420648797646465,1652.5557760000002,4.0,0.027420648797646465,1652.5557760000002,4.0,0.027420648797646465,1652.5557760000002,4.0,0.027420648797646465,1652.5557760000002,4.0
comet-stampede2-745-1537122155931.log,0.04466871434839837,2080.374784,10.0,0.04466871434839837,2080.374784,10.0,0.16963580517770957,1653.604352,5.0,0.16963580517770957,1653.604352,5.0,0.3849934181658623,1224.736768,4.0
stampede2-comet-745-1537064280703.log,0.03926472973141537,1764.753408,17.0,0.09607539826099948,1861.2223999999999,13.0,0.13981237759009998,1460.6663680000001,8.0,0.13981237759009998,1460.6663680000001,8.0,0.4831464178341089,877.6581120000001,7.0
stampede2-comet-745-1537091203582.log,0.034405885412796135,2013.26592,16.0,0.09151371033662757,2124.414976,15.0,0.19226053355131142,2320.498688,12.0,0.21342052463401967,1530.92096,7.0,0.21342052463401967,1530.92096,7.0
comet-stampede2-745-1537089945667.log,0.047800077190274196,2723.151872,5.0,0.047800077190274196,2723.151872,5.0,0.047800077190274196,2723.151872,5.0,0.047800077190274196,2723.151872,5.0,0.4401196449247396,1601.175552,4.0
stampede2-comet-745-1537115023424.log,0.01712083183936895,1699.741696,7.0,0.05754750806740765,1574.961152,6.0,0.1422552886339189,1433.4033920000002,5.0,0.1422552886339189,1433.4033920000002,5.0,0.38947651487988527,1020.264448,4.0
comet-stampede2-745-1537085873033.log,0.03202527695428316,1486.880768,16.0,0.08402246840380702,1665.138688,10.0,0.15638165080355734,1776.287744,8.0,0.2511507255422064,1150.2878719999999,7.0,0.4798330472772664,799.014912,6.0
comet-stampede2-745-1537085727714.log,0.03724180894348493,1862.2709759999998,7.0,0.03724180894348493,1862.2709759999998,7.0,0.16687756730975142,1495.793664,4.0,0.16687756730975142,1495.793664,4.0,0.16687756730975142,1495.793664,4.0
comet-stampede2-745-1537116031561.log,0.02048367913307757,1349.517312,8.0,0.02048367913307757,1349.517312,8.0,0.17298797409805747,1093.664768,7.0,0.26734505087881605,968.884224,5.0,0.49068322981366475,673.5353173333333,4.0
stampede2-comet-745-1537138563880.log,0.019991129134457088,1544.552448,5.0,0.019991129134457088,1544.552448,5.0,0.019991129134457088,1544.552448,5.0,0.26327461665188184,1161.1231573333334,4.0,0.26327461665188184,1161.1231573333334,4.0
comet-stampede2-745-1537122237747.log,0.02384039613357529,2112.88064,15.0,0.05483506817533606,2176.8437759999997,10.0,0.17627320945371075,2427.4534400000002,9.0,0.2169219596724134,2511.33952,5.0,0.39331740298586154,1251.999744,4.0
stampede2-comet-745-1537136451199.log,0.04773950484391789,1427.111936,10.0,0.04773950484391789,1427.111936,10.0,0.04773950484391789,1427.111936,10.0,0.04773950484391789,1427.111936,10.0,0.41786867599569405,872.4152320000001,9.0
stampede2-comet-745-1537004303560.log,0.010580561641107268,2026.8974079999998,11.0,0.05947520414260116,1886.3882239999998,7.0,0.14573790081657037,1713.373184,5.0,0.2943885680143398,1415.2280746666665,4.0,0.2943885680143398,1415.2280746666665,4.0
comet-stampede2-745-1537078843964.log,0.0009905548502308953,2089.811968,7.0,0.0009905548502308953,2089.811968,7.0,0.15116425073594028,2403.3361919999998,5.0,0.22552562188707675,1616.904192,4.0,0.22552562188707675,1616.904192,4.0
comet-stampede2-745-1537061590484.log,0.045112979678778836,2207.25248,21.0,0.045112979678778836,2207.25248,21.0,0.045112979678778836,2207.25248,21.0,0.24486052581406517,1745.5295146666667,4.0,0.24486052581406517,1745.5295146666667,4.0
stampede2-comet-745-1537107668690.log,0.014462995521219827,1782.5792000000001,8.0,0.014462995521219827,1782.5792000000001,8.0,0.014462995521219827,1782.5792000000001,8.0,0.014462995521219827,1782.5792000000001,8.0,0.4128049484747763,1031.798784,7.0
stampede2-comet-745-1537084661735.log,0.029241039036424353,1650.458624,7.0,0.08721520824263541,1551.89248,6.0,0.14888985633434915,1447.0348800000002,5.0,0.14888985633434915,1447.0348800000002,5.0,0.4856334349151067,874.512384,4.0
stampede2-comet-745-1537092854877.log,0.04122590394751404,2182.086656,8.0,0.08130920349415802,2090.860544,5.0,0.08130920349415802,2090.860544,5.0,0.08130920349415802,2090.860544,5.0,0.3430024694998342,1495.269376,4.0
stampede2-comet-745-1537064940036.log,0.00046691444259735733,1755.316224,8.0,0.060829613581607225,1861.2224,5.0,0.060829613581607225,1861.2224,5.0,0.060829613581607225,1861.2224,5.0,0.3990624357992643,1054.3431679999999,4.0
comet-stampede2-745-1537093109312.log,0.014774774774774825,2281.701376,11.0,0.09172231054584011,2454.716416,5.0,0.09172231054584011,2454.716416,5.0,0.09172231054584011,2454.716416,5.0,0.3156332803391626,1538.78528,4.0
stampede2-comet-745-1537115321037.log,0.0009513661618081114,1902.116864,14.0,0.0009513661618081114,1902.116864,14.0,0.1466245528579036,2178.940928,13.0,0.20928152827460253,1502.609408,7.0,0.20928152827460253,1502.609408,7.0
stampede2-comet-745-1537059874948.log,0.041589631880503054,1339.031552,15.0,0.06110307712021089,1311.768576,5.0,0.06110307712021089,1311.768576,5.0,0.2671200278240494,1023.934464,4.0,0.2671200278240494,1023.934464,4.0
comet-stampede2-745-1537102022124.log,0.02671211498295674,1373.63456,6.0,0.02671211498295674,1373.63456,6.0,0.14336157123941087,1146.093568,5.0,0.14336157123941087,1146.093568,5.0,0.3092552590292779,924.1449813333334,4.0
stampede2-comet-745-1537103818643.log,0.02464579545249981,1755.3162240000001,11.0,0.08218265612904394,1853.882368,9.0,0.11645993482996392,1912.602624,5.0,0.11645993482996392,1912.602624,5.0,0.3692368624768214,1080.557568,4.0
stampede2-comet-745-1537070758483.log,0.03444464096215062,1842.3480319999999,19.0,0.06447395017433938,2031.091712,5.0,0.06447395017433938,2031.091712,5.0,0.06447395017433938,2031.091712,5.0,0.3057380362827833,1324.7010133333333,4.0
comet-stampede2-745-1537147624771.log,0.02971225645609276,1493.172224,25.0,0.07672760358006006,1420.82048,24.0,0.07672760358006006,1420.82048,24.0,0.2234210979867174,1882.718208,4.0,0.43513445267001466,869.269504,3.0
comet-stampede2-745-1537099870199.log,0,1635.2599095053763,31.0,0.0791952231890453,1505.755136,18.0,0.16190686321827977,1900.0197119999998,10.0,0.2318008191182757,2014.314496,9.0,0.3457327247404057,1069.8970453333334,4.0
comet-stampede2-745-1537002843157.log,0.04844446261395713,2218.786816,5.0,0.04844446261395713,2218.786816,5.0,0.04844446261395713,2218.786816,5.0,0.04844446261395713,2218.786816,5.0,0.3510894893912761,1513.0951679999998,4.0
stampede2-comet-745-1537141939522.log,0.005843627487240202,2193.620992,24.0,0.09960056217175822,2398.093312,4.0,0.09960056217175822,2398.093312,4.0,0.09960056217175822,2398.093312,4.0,0.09960056217175822,2398.093312,4.0
comet-stampede2-745-1537076412690.log,0.04021570764729479,501.219328,21.0,0.09833056049566881,573.571072,19.0,0.16269864035339318,437.256192,6.0,0.16269864035339318,437.256192,6.0,0.3153003270036141,357.564416,3.0
comet-stampede2-745-1537079184831.log,0.025165251581286543,2012.2173440000001,12.0,0.07912131745398582,2118.12352,7.0,0.12826941706080103,2214.592512,5.0,0.12826941706080103,2214.592512,5.0,0.3446920052424641,1286.2532266666667,4.0
comet-stampede2-745-1537127178017.log,0.046604855786032996,1568.669696,5.0,0.046604855786032996,1568.669696,5.0,0.046604855786032996,1568.669696,5.0,0.046604855786032996,1568.669696,5.0,0.046604855786032996,1568.669696,5.0
stampede2-comet-745-1537085428908.log,0.023397619424714786,1779.4334720000002,10.0,0.0869628781325762,1587.5440640000002,9.0,0.12616196196440083,1519.3866240000002,8.0,0.12616196196440083,1519.3866240000002,8.0,0.30647774759079444,1205.8624,7.0
